starting program at 2023-11-26 16:23:08.061827
0.001 high score: 0.601		gamma: 0.001 win rate: 0.574 tie rate: 0.185 loss rate: 0.241	time: 2023-11-26 16:23:12.523701
0.112 high score: 0.602		gamma: 0.112 win rate: 0.586 tie rate: 0.172 loss rate: 0.242	time: 2023-11-26 16:23:17.829879
0.223 high score: 0.685		gamma: 0.223 win rate: 0.529 tie rate: 0.272 loss rate: 0.199	time: 2023-11-26 16:23:24.062925
0.334 high score: 0.687		gamma: 0.334 win rate: 0.575 tie rate: 0.222 loss rate: 0.203	time: 2023-11-26 16:23:30.909839
0.334 high score: 0.687		gamma: 0.445 win rate: 0.497 tie rate: 0.294 loss rate: 0.209	time: 2023-11-26 16:23:33.752611
0.555 high score: 0.710		gamma: 0.555 win rate: 0.570 tie rate: 0.238 loss rate: 0.192	time: 2023-11-26 16:23:42.419853
0.555 high score: 0.710		gamma: 0.666 win rate: 0.577 tie rate: 0.196 loss rate: 0.227	time: 2023-11-26 16:23:47.141044
0.555 high score: 0.710		gamma: 0.777 win rate: 0.587 tie rate: 0.199 loss rate: 0.215	time: 2023-11-26 16:23:51.574097
0.555 high score: 0.710		gamma: 0.888 win rate: 0.601 tie rate: 0.177 loss rate: 0.222	time: 2023-11-26 16:23:56.257865
0.999 high score: 0.715		gamma: 0.999 win rate: 0.662 tie rate: 0.138 loss rate: 0.200	time: 2023-11-26 16:24:12.979368
0.999 high score: 0.715		gamma: 0.094 win rate: 0.684 tie rate: 0.111 loss rate: 0.205	time: 2023-11-26 16:24:17.264152
0.999 high score: 0.715		gamma: 0.194 win rate: 0.607 tie rate: 0.187 loss rate: 0.205	time: 2023-11-26 16:24:21.415114
0.294 high score: 0.718		gamma: 0.294 win rate: 0.642 tie rate: 0.162 loss rate: 0.196	time: 2023-11-26 16:24:40.329882
0.294 high score: 0.718		gamma: 0.394 win rate: 0.624 tie rate: 0.171 loss rate: 0.204	time: 2023-11-26 16:24:44.462441
0.294 high score: 0.718		gamma: 0.494 win rate: 0.642 tie rate: 0.145 loss rate: 0.213	time: 2023-11-26 16:24:48.728706
0.294 high score: 0.718		gamma: 0.594 win rate: 0.616 tie rate: 0.172 loss rate: 0.212	time: 2023-11-26 16:24:52.782970
0.294 high score: 0.718		gamma: 0.694 win rate: 0.524 tie rate: 0.264 loss rate: 0.212	time: 2023-11-26 16:24:56.887427
0.294 high score: 0.718		gamma: 0.794 win rate: 0.583 tie rate: 0.188 loss rate: 0.230	time: 2023-11-26 16:25:00.952473
0.294 high score: 0.718		gamma: 0.894 win rate: 0.554 tie rate: 0.225 loss rate: 0.221	time: 2023-11-26 16:25:04.910535
0.294 high score: 0.718		gamma: 0.994 win rate: 0.595 tie rate: 0.137 loss rate: 0.268	time: 2023-11-26 16:25:08.838221
0.294 high score: 0.718		gamma: 0.061 win rate: 0.595 tie rate: 0.179 loss rate: 0.226	time: 2023-11-26 16:25:12.823635
0.294 high score: 0.718		gamma: 0.151 win rate: 0.640 tie rate: 0.163 loss rate: 0.197	time: 2023-11-26 16:25:16.784160
0.294 high score: 0.718		gamma: 0.241 win rate: 0.633 tie rate: 0.162 loss rate: 0.205	time: 2023-11-26 16:25:20.728947
0.294 high score: 0.718		gamma: 0.331 win rate: 0.591 tie rate: 0.199 loss rate: 0.210	time: 2023-11-26 16:25:25.141619
0.294 high score: 0.718		gamma: 0.421 win rate: 0.624 tie rate: 0.166 loss rate: 0.209	time: 2023-11-26 16:25:29.070921
0.294 high score: 0.718		gamma: 0.511 win rate: 0.612 tie rate: 0.184 loss rate: 0.204	time: 2023-11-26 16:25:33.047838
